entity_type,entity_id,field,value_status,available_at,temporal_status,source_path
team,Argélia,temporal_status,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,fifa_ranking,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
<<<<<<< HEAD
team,Argélia,fifa_points,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argélia,recent_matches,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argélia,recent_points_per_match,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
=======
team,Argélia,recent_matches,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
>>>>>>> 0fb9a768f5f7adf18fc6e3a227415ccd8e396ee3
team,Argélia,qualifying_performance,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argélia,recent_goals_for,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argélia,recent_goals_against,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argélia,coach,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,tactical_style,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,base_system,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,initial_strength_proxy,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,attack_proxy,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,midfield_proxy,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,defense_proxy,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,goalkeeper_proxy,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,experience_proxy,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,possession_proxy,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,pressing_proxy,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argélia,intensity_proxy,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argentina,temporal_status,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argentina,fifa_ranking,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
<<<<<<< HEAD
team,Argentina,fifa_points,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argentina,recent_matches,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argentina,recent_points_per_match,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
=======
team,Argentina,recent_matches,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
>>>>>>> 0fb9a768f5f7adf18fc6e3a227415ccd8e396ee3
team,Argentina,qualifying_performance,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argentina,recent_goals_for,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argentina,recent_goals_against,MISSING,2026-06-11T03:59:59+00:00,UNAVAILABLE,NA
team,Argentina,coach,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argentina,tactical_style,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
team,Argentina,base_system,AVAILABLE,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,data/database/team_strengths.csv
