source_id,category,entity_type,entity_name,url,publisher,title,date_published,date_accessed,data_collected,reliability_0_100,notes
DLY00001,match_result,existing_repository_result,1,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00002,match_result,existing_repository_result,2,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00003,match_result,existing_repository_result,3,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00004,match_result,existing_repository_result,4,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00005,match_result,existing_repository_result,5,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00006,match_result,existing_repository_result,6,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00007,match_result,existing_repository_result,7,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00008,match_result,existing_repository_result,8,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00009,match_result,existing_repository_result,9,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00010,match_result,existing_repository_result,10,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
DLY00011,match_result,existing_repository_result,11,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing repository source,resultados_reais.csv source,NA,2026-06-28T00:40:18+00:00,final score from existing curated repository data,70,Seeded from repository; no proxy.
