path,size_bytes,sha256
data/audit/wc2026_complete_20260720/MANIFEST_SHA256.csv,121953,97f5d1dc0f0e1633b3b5cfe0f5f08eb5e3924e77f171ceee4c594a24bd397f18
data/audit/wc2026_complete_20260720/data_conflicts.csv,381,77d19c17bf0cd2c5d807f79c1f5804f7c55972941044744478b4b2f52622f726
data/audit/wc2026_complete_20260720/data_dictionary.csv,4709,0be46f268d1bd054287c75acfbabd7ae2283127a60e4ff2bed3282082001d115
data/audit/wc2026_complete_20260720/data_gaps.csv,43,7bd45b357b2b3cd7a5448d31b3d1e5a70ee8b03c16e4ce2396021972b3254efd
data/audit/wc2026_complete_20260720/extraction_summary.json,422,a78974f6ae400bb61e17acffa56f8e84e6fa01c15f2ac930a9a7a8cd26f01a97
data/audit/wc2026_complete_20260720/fifa_fetch_metadata.json,534,b0181008141f9a917e66e27152e5dc248df30e5cd7d73e2c7e3835a59e3bbbb0
data/audit/wc2026_complete_20260720/quality_checks.csv,692,e149f6e013286385dd48e14733f32c98f7d684a7ed282491a389ca4fe57adead
data/audit/wc2026_complete_20260720/raw_manifest.jsonl,51326,7f4820497d49f613bb61da3a4b1f16e5a080ce2eabc7c54f196c6c74f38be575
data/audit/wc2026_complete_20260720/summary_failures.csv,56,1a2b8cd8e892ed85b4cf87527ea8e91374cb3a102bbb006fc04a202ca8a7d1d2
data/audit/wc2026_complete_20260720/validation_summary.json,1155,03ce8c68e5639d1b8d0c097f1842975c91e8084633dad685f4a7f0d3af057fe9
data/catalog.json,1955,ba850e292146f25d081b461e640e6955731267c90e049a403b4ed143813490a3
data/mappings/incoming_game_id_mapping_20260720.csv,8295,d82f52d535145d2aec9edb34a175143a3bed26a34f992712705d346f27d0509f
data/normalized/espn_event_mapping_report.csv,11674,dd1a8431b11db07309c823ce0f6cd76e72ec40c7bbfd9f4aaa5a5ed65a69fbc0
data/normalized/espn_match_commentary.csv,4338191,3eeb5821be0f52494a8dd17f5cc9d1034ee43dc9dba1a2e83af165670ba6bb61
data/normalized/espn_match_events.csv,1866089,60ac4e961f1d2a05c9ee7381d8bba8a26139146bfad475889b9a1a65215c2ccd
data/normalized/espn_match_metadata.csv,18552,a938dc45881d42782c50c6106c453d5f18f406e0530687de66bd5f41278f4555
data/normalized/espn_matches.csv,56235,292d490562d05efd2c3b4bc2bd677fab2ef723eb22bcfaef5817634cd039e26d
data/normalized/espn_penalty_shootouts.csv,8331,24031244687d0a3980ef3b2c4c201536d164c439e9cdd49fb49660c8c98aadc6
data/normalized/espn_team_match_stats.csv,74940,7e4ae352e2b590d9bc2c5357b4c3ce8cecf5e9cc7b4790252fca7feeb72c0694
data/normalized/fifa_verification.csv,11335,3c74b9f64336812f9b24b2df9fd1c7f483ea67e58c71257ff5aa327d5dcc6e63
data/normalized/matches_master.csv,59089,87d2f5e74e9d2f4407476cce359cfbb3e08f20b0222ae554dd6f93b7df2fea02
data/normalized/results_validated.csv,52185,65ab072976e28a86d69d0ada781522651a1b6f509c4bd3bc567a458b791f0508
data/platform/lineups.csv,1515258,09483174553e5ef41db9afc3d6baee666709db131ead46712d3145373a7e4bf6
data/platform/match_officials.csv,24752,28bc1a4b15c6aacf33e3a998042a756f89bd3c8bfe0b4f6012ec0f0632b06195
data/platform/player_match_stats.csv,1749618,21914830fa22b151d9d91dbba5043b88850df78ddc3f2f2c9a3539debad8fcd0
data/raw/wc2026_complete_20260720/espn_scoreboard/world_cup_2026_scoreboard__364bf327db4fa4fd.json,1142017,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062
data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,406818,03b799059385b3114800f7f72872117044375bad7eea358b6be3ad85c042afe6
data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,413544,42821309b25c1394dbc57508d244bdf328a2938e309faa9c84a6447611675349
data/raw/wc2026_complete_20260720/espn_summary/summary_event_760416__72d2345af9f4f1de.json,434218,72d2345af9f4f1de42c7692f7db20a14208fcfefc3143de25234ae11a3bdb6a3
data/raw/wc2026_complete_20260720/espn_summary/summary_event_760417__010e1016083c1dbf.json,454871,010e1016083c1dbf3f94258dd8baa4383b6ca7b64898d0d42fd04778ea3b98d6
data/raw/wc2026_complete_20260720/espn_summary/summary_event_760418__2d3436ec86ea7a74.json,419865,2d3436ec86ea7a74befcfd812cd617db438334af86d3d8512363c6668cc73e0a
data/raw/wc2026_complete_20260720/espn_summary/summary_event_760419__31ded61d5db77506.json,426701,31ded61d5db77506bee744ebefafa099a968bb97630aec69040253234bcba002
