competition_id,season,match_id,jogo_original_fonte,espn_event_id,official_id,official,role,source,source_collected_at,available_at,temporal_status
world_cup_2026,2026,1,1,760415,,Wilton Pereira Sampaio,Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.226146+00:00,2026-07-20T17:23:31.226146+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,2,2,760414,,Amin Omar,Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.796206+00:00,2026-07-20T17:23:33.796206+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,3,3,760416,,Facundo Tello,Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760416,2026-07-20T17:23:37.123359+00:00,2026-07-20T17:23:37.123359+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,4,4,760417,,Danny Makkelie,Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760417,2026-07-20T17:23:41.907523+00:00,2026-07-20T17:23:41.907523+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,5,5,760418,,Mustapha Ghorbal,Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760418,2026-07-20T17:23:52.245932+00:00,2026-07-20T17:23:52.245932+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,6,6,760421,,Jesús Valenzuela,Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760421,2026-07-20T17:23:55.409790+00:00,2026-07-20T17:23:55.409790+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,7,7,760419,,Slavko Vincici,Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760419,2026-07-20T17:23:48.552666+00:00,2026-07-20T17:23:48.552666+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,8,8,760420,,"Martínez, Héctor",Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760420,2026-07-20T17:23:46.005780+00:00,2026-07-20T17:23:46.005780+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,9,9,760423,,Francois Letexier,Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760423,2026-07-20T17:24:05.768815+00:00,2026-07-20T17:24:05.768815+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,10,10,760422,,Jalal Jayed,Referee,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760422,2026-07-20T17:23:58.262192+00:00,2026-07-20T17:23:58.262192+00:00,POST_MATCH_BACKFILLED_FACT
