competition_id,season,match_id,jogo_original_fonte,espn_event_id,team,team_espn,player_id,athlete_id,player_name,jersey,position,starter,active,subbed_in,subbed_out,captain,minutes,goals,assists,shots,xg,xa,rating,stat_appearances,stat_foulscommitted,stat_foulssuffered,stat_owngoals,stat_redcards,stat_subins,stat_yellowcards,stat_goalsconceded,stat_saves,stat_shotsfaced,stat_shotsontarget,stat_offsides,source,source_collected_at,temporal_status
world_cup_2026,2026,1,1,760415,México,Mexico,espn:290899,290899,Raúl Rangel,1,G,True,True,False,False,,NA,0.0,0.0,0.0,NA,NA,NA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.199718+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,1,1,760415,México,Mexico,espn:224323,224323,César Montes,3,CD-R,True,True,False,False,,NA,0.0,0.0,0.0,NA,NA,NA,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.200087+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,1,1,760415,México,Mexico,espn:259975,259975,Johan Vásquez,5,CD-L,True,True,False,False,,NA,0.0,0.0,0.0,NA,NA,NA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.199925+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,1,1,760415,México,Mexico,espn:276942,276942,Érik Lira,6,DM,True,True,False,True,,NA,0.0,1.0,0.0,NA,NA,NA,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.200246+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,1,1,760415,México,Mexico,espn:283827,283827,Álvaro Fidalgo,8,CM-L,True,True,False,True,,NA,0.0,0.0,0.0,NA,NA,NA,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.202889+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,1,1,760415,México,Mexico,espn:167060,167060,Raúl Jiménez,9,F,True,True,False,True,,NA,1.0,0.0,4.0,NA,NA,NA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.203671+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,1,1,760415,México,Mexico,espn:290414,290414,Israel Reyes,15,RB,True,True,False,False,,NA,0.0,0.0,1.0,NA,NA,NA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.202686+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,1,1,760415,México,Mexico,espn:233075,233075,Julián Quiñones,16,LM,True,True,False,True,,NA,1.0,0.0,5.0,NA,NA,NA,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.203217+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,1,1,760415,México,Mexico,espn:132098,132098,Jesús Gallardo,23,LB,True,True,False,False,,NA,0.0,0.0,2.0,NA,NA,NA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.200405+00:00,POST_MATCH_BACKFILLED_FACT
world_cup_2026,2026,1,1,760415,México,Mexico,espn:194308,194308,Roberto Alvarado,25,RM,True,True,False,False,,NA,0.0,1.0,0.0,NA,NA,NA,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.203385+00:00,POST_MATCH_BACKFILLED_FACT
